teff_0,logg_0,teff_0.5,logg_0.5,teff_-0.5,logg_-0.5
3.54252325,4.928399178,3.459854901,4.858799802,3.56809547,4.971279354
3.543394993,4.92605154,3.462235166,4.859889125,3.568374334,4.968868937
3.543908375,4.92441268,3.463176415,4.86409777,3.56847509,4.968020786
3.544440081,4.923556017,3.464032272,4.866596694,3.568576516,4.967151847
3.544957961,4.922483908,3.464752346,4.86444129,3.568684585,4.966285314
3.545533181,4.920158957,3.465382918,4.859801804,3.568789338,4.965383162
3.546176031,4.916471983,3.466059492,4.85576923,3.56889652,4.964461299
3.546804648,4.912741926,3.466820403,4.852538761,3.569011128,4.963489698
3.547281087,4.90970197,3.467564598,4.850019695,3.569131099,4.96245486
3.547671819,4.907437285,3.468282671,4.848130106,3.569255208,4.961406501
3.548063092,4.905526033,3.469344205,4.847809947,3.569475123,4.959738107
3.548448963,4.903923107,3.470412382,4.847519026,3.569694614,4.958089312
3.548827462,4.902528035,3.471458019,4.847237558,3.569917809,4.956464706
3.549227349,4.901279185,3.472703437,4.846878075,3.570140682,4.954837839
3.549650732,4.900214904,3.474580149,4.846254788,3.570389203,4.953438915
3.550076713,4.899080431,3.47570149,4.845918177,3.570636363,4.95180424
3.550581275,4.897641805,3.479229545,4.844739049,3.570885137,4.950105021
3.551145248,4.895902814,3.488588721,4.8412154,3.571108996,4.948018329
3.552011595,4.892808906,3.49099017,4.840162203,3.571294208,4.944519565
3.553625473,4.887016813,3.493239474,4.839048117,3.571480439,4.94163131
3.556004493,4.877647427,3.495982329,4.837905462,3.571685002,4.939801424
3.558924368,4.864781953,3.498657849,4.836668658,3.571890832,4.938685328
3.561822117,4.851989884,3.499747319,4.835801258,3.572087597,4.936618072
3.564798419,4.838827803,3.500810887,4.83502751,3.572372739,4.934257473
3.567488653,4.827193486,3.502323673,4.833977893,3.572701424,4.932016797
3.570047532,4.816318019,3.503883247,4.832894851,3.573097063,4.929602327
3.572565274,4.805769819,3.505405446,4.831833588,3.57350882,4.927183827
3.575156621,4.7949221,3.51011752,4.828398605,3.574342176,4.922637554
3.577806535,4.783987942,3.515787676,4.824150287,3.575679672,4.915320661
3.580918493,4.772729652,3.521396522,4.819834126,3.577227165,4.906298181
3.583980924,4.761819956,3.527014502,4.815502539,3.579208894,4.894705966
3.587071208,4.750857449,3.533013363,4.810370033,3.581654207,4.881654775
3.590028045,4.740372177,3.538831166,4.803449997,3.583928215,4.870244357
3.5930963,4.730404686,3.544360727,4.796817711,3.58631066,4.858560896
3.596176206,4.721481179,3.549797678,4.790221565,3.588664806,4.847139334
3.599235256,4.71274942,3.553546884,4.782280155,3.590959474,4.836028039
3.602277677,4.704486513,3.5566365,4.772985792,3.593589124,4.825514801
3.605317944,4.69622899,3.55961064,4.76394515,3.596410921,4.815484618
3.608206299,4.688409864,3.562486778,4.755151568,3.599159275,4.805737147
3.611833492,4.682491734,3.565661509,4.744816656,3.601892322,4.796372084
3.615496728,4.677324968,3.568908404,4.733267826,3.6047968,4.786540372
3.619075777,4.672288396,3.572066693,4.722035619,3.607688723,4.776761151
3.622784986,4.667081567,3.575314448,4.71046202,3.610852162,4.768396163
3.626400299,4.662017256,3.578406558,4.701107942,3.614179527,4.760585077
3.630029302,4.656950597,3.581573817,4.692540941,3.617619287,4.752538704
3.633866763,4.651608061,3.584603056,4.684640165,3.621065625,4.744630227
3.637623176,4.646392095,3.587777179,4.676389626,3.62439233,4.737163574
3.641270395,4.641342425,3.591031089,4.667928204,3.627980048,4.729146996
3.64486381,4.636408984,3.594593805,4.663223362,3.631600276,4.721727013
3.648763244,4.631103657,3.59808154,4.658848462,3.635324869,4.71594902
3.652601835,4.625887278,3.601531864,4.654510535,3.639153917,4.710026691
3.65634355,4.620849035,3.60526295,4.649818045,3.643105571,4.703933047
3.659925978,4.61643941,3.608855181,4.64528478,3.646932178,4.698221663
